nombre,codigoBarras,categoria,cantidad,fechaVencimiento,diasAviso,sucursal
Leche La Serenísima 1L,7790895000019,Lácteos,24,2026-06-15,7,Principal
Yogur Yogurísimo Frutilla,7791234000010,Lácteos,15,2026-06-02,5,Principal
Galletitas Oreo,7622300336783,Snacks,50,2026-12-01,15,Principal
Coca Cola 2.25L,7790895000408,Bebidas,30,2027-03-10,30,Principal
Pan de molde Bimbo,7791234000027,Panadería,12,2026-05-30,3,Principal
Ibuprofeno 400mg x10,7791234567890,Medicamentos,40,2027-03-20,30,Principal
Shampoo Sedal 400ml,7791293041018,Limpieza,18,2028-01-15,60,Principal
Atún en lata Gomes da Costa,7891000111017,Almacén,60,2027-08-22,45,Principal
Arroz Gallo Oro 1kg,7790070300010,Almacén,40,2027-11-05,30,Principal
Aceite Natura 900ml,7790080302013,Almacén,25,2027-06-12,30,Principal
Queso crema Casancrem,7791234000058,Lácteos,20,2026-06-08,7,Principal
Salame Cardini,7791234000065,Fiambres,10,2026-07-15,10,Principal
Pasta dental Colgate,7794626000017,Limpieza,30,2027-09-10,60,Principal
Cerveza Quilmes 1L,7790895007231,Bebidas,48,2026-09-22,20,Principal
Dulce de leche Ilolay,7791234000089,Almacén,22,2027-02-18,30,Principal
